date,usd_rwf_rate,usd_rwf_mom_pct
2019-12-15,915.1520552201705,
2020-01-15,924.3035517153533,0.009999973712544463
2020-02-15,921.3982727050782,-0.0031432087487744953
2020-03-15,928.4250516024503,0.00762621236172123
2020-04-15,923.1892367276279,-0.005639458851078416
2020-05-15,923.3335048130581,0.0001562714118521491
2020-06-15,936.9090909090909,0.014702798095452385
2020-07-15,942.5710475755775,0.00604322951012537
2020-08-15,949.9707903180804,0.007850594139864553
2020-09-15,944.1463955965909,-0.0061311303261644134
2020-10-15,958.6099437366832,0.01531917953354367
2020-11-15,972.3068237304688,0.014288272391995704
2020-12-15,975.0373880137568,0.0028083360279336222
2021-01-15,970.2318929036459,-0.00492852394091281
2021-02-15,975.4957397460937,0.005425349219035258
2021-03-15,969.6489947775136,-0.005993614047050455
2021-04-15,971.9743541370739,0.0023981454857215923
2021-05-15,974.9652390252976,0.0030771232548405525
2021-06-15,971.906269420277,-0.00313751658272321
2021-07-15,982.4688998135654,0.010867951700310297
2021-08-15,993.0448275479404,0.010764643783006234
2021-09-15,988.6634355024858,-0.004412078814481468
2021-10-15,988.2731904529389,-0.00039471981620164964
2021-11-15,991.3252591219815,0.003088284391933982
2021-12-15,996.2028171705163,0.004920239854328656
2022-01-15,1001.6710902622768,0.005489116269809413
2022-02-15,1005.8609069824219,0.0041828268389456635
2022-03-15,1006.6211282481318,0.0007557916412026522
2022-04-15,1008.1142549060639,0.0014833055019725094
2022-05-15,1010.170107754794,0.002039305404843761
2022-06-15,1011.0703624378551,0.0008911911728035626
2022-07-15,1013.4589814685639,0.0023624656793910237
2022-08-15,1019.4253062372622,0.005887090526399685
2022-09-15,1024.3425431685014,0.004823538224089097
2022-10-15,1035.852573939732,0.011236505647444606
2022-11-15,1041.1790882457387,0.005142154820109157
2022-12-15,1056.4870050603693,0.014702482010489293
2023-01-15,1063.0296519886363,0.006192832374585677
2023-02-15,1074.090594482422,0.010405111911124587
2023-03-15,1081.8682542883832,0.007241158097757383
2023-04-15,1096.4023803710938,0.013434284650741146
2023-05-15,1107.9436778192935,0.010526516226910587
2023-06-15,1132.0275712446733,0.021737470872872144
2023-07-15,1156.5612095424108,0.021672297496043047
2023-08-15,1170.0144308338995,0.011632087589044549
2023-09-15,1188.0477469308037,0.015412900577688848
2023-10-15,1208.8831121271307,0.017537481342945194
2023-11-15,1221.4169367009943,0.01036810296059909
2023-12-15,1240.4178583054315,0.015556458268671136
2024-01-15,1256.0163361922555,0.012575180035003353
2024-02-15,1260.7348051525298,0.0037566939412418954
2024-03-15,1271.0225539434523,0.008160121183993008
2024-04-15,1275.849032315341,0.003797319219013273
2024-05-15,1280.9191735309103,0.00397393507158772
2024-06-15,1292.4828369140625,0.00902762923852296
2024-07-15,1298.9651940387228,0.005015429945775862
2024-08-15,1305.6683904474432,0.0051604126419115826
2024-09-15,1328.4369245256696,0.01743822110177895
2024-10-15,1337.4927447775135,0.006816898931861104
2024-11-15,1355.0447998046875,0.013123102981836166
2024-12-15,1369.5111472389915,0.010675918195759415
2025-01-15,1375.5011097301137,0.004373796082783432
2025-02-15,1389.0648376464844,0.009860935640416901
2025-03-15,1401.723179408482,0.009112851624294871
2025-04-15,1406.7898010253907,0.0036145664788440612
2025-05-15,1412.8290183327415,0.004292906660930296
2025-06-15,1414.1937779017858,0.0009659764566944951
2025-07-15,1429.9726774796195,0.011157522981924517
2025-08-15,1435.2111990792412,0.0036633718127081494
2025-09-15,1438.1561445756392,0.0020519248304970983
2025-10-15,1441.9051619819973,0.002606822228934158
2025-11-15,1441.5380859375,-0.0002545771068553915
2025-12-15,1444.3539095791903,0.0019533466851546777
2026-01-15,1445.9139171781994,0.0010800729576476709
2026-02-15,1447.9892944335938,0.001435339428397464
2026-03-15,1449.8567449396307,0.001289685298928589
2026-04-15,1454.0718605735085,0.00290726352695847
2026-05-15,1453.3946765718006,-0.0004657156362553039
2026-06-15,1455.875848943537,0.0017071566393713766
2026-07-15,1458.5943921959918,0.001867290575928937
2026-08-15,1459.4304809570312,0.0005732153952551222
