countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,150.0,0.16
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,250.0,0.27
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,375.0,0.4
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Maize,51,KG,actual,Retail,RWF,340.0,0.36
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,754.0,0.8
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,150.0,0.16
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,240.0,0.26
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,850.0,0.91
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,787.5,0.84
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,1000.0,1.07
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,385.0,0.41
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2066.67,2.2
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,2500.0,2.67
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,miscellaneous food,Salt,185,KG,actual,Retail,RWF,375.0,0.4
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,978.57,1.04
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,oil and fats,Oil,137,L,actual,Retail,RWF,1650.0,1.76
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,oil and fats,Oil (palm),62,L,actual,Retail,RWF,1500.0,1.6
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,481.67,0.51
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,216.67,0.23
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,106.67,0.11
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,300.0,0.32
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,1060,-2.28,30.59,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,800.0,0.85
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,1060,-2.28,30.59,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,1000.0,1.07
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,1060,-2.28,30.59,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,850.0,0.91
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,1060,-2.28,30.59,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,1060,-2.28,30.59,miscellaneous food,Salt,185,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,1060,-2.28,30.59,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,950.0,1.01
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,1060,-2.28,30.59,oil and fats,Oil,137,L,actual,Retail,RWF,1600.0,1.71
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.21
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Maize,51,KG,actual,Retail,RWF,450.0,0.48
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,750.0,0.8
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,300.0,0.32
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,950.0,1.01
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,850.0,0.91
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,470.0,0.5
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2000.0,2.13
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,2500.0,2.67
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,miscellaneous food,Salt,185,KG,actual,Retail,RWF,387.5,0.41
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,925.0,0.99
