date,general_cpi,food_cpi,cpi_mom_pct,food_cpi_mom_pct,cpi_yoy_pct
2020-01-15,123.47559392937367,136.54486712027503,,,
2020-02-15,125.41312223813601,142.32293810030149,0.015691589302016862,0.042316281101484776,
2020-03-15,126.60617104762157,145.8829078958952,0.009512950385049734,0.025013324226659917,
2020-04-15,126.38712625719947,142.82138469749867,-0.0017301272806024004,-0.02098616789693608,
2020-05-15,128.91791088457572,140.8015747506587,0.0200240697159777,-0.014142209523580918,
2020-06-15,128.67633644014916,139.93915414760752,-0.0018738625437613177,-0.006125077823727509,
2020-07-15,128.92022721288492,140.39263907479332,0.0018953816955240566,0.003240586453077121,
2020-08-15,129.5116665108248,142.83082382830435,0.004587637725484539,0.017366898788846674,
2020-09-15,130.77539860273006,145.98370689809963,0.009757669914622236,0.022074248298009858,
2020-10-15,129.60471782556252,146.09491790552735,-0.008951842545889321,0.000761804243711639,
2020-11-15,128.32876620165277,144.61417864497932,-0.009844947354671785,-0.010135460437477817,
2020-12-15,127.33368740439296,141.33314933042172,-0.007754136712388893,-0.022688157864605873,
2021-01-15,126.9114495393203,139.22676623019882,-0.0033159949552995505,-0.014903673414213725,0.02782619221019411
2021-02-15,127.37657361777117,139.7803800054451,0.0036649496963374606,0.003976345858172969,0.01565586873682112
2021-03-15,129.1500881701206,143.85495078675865,0.01392339660251296,0.029149804723344053,0.020093152659534708
2021-04-15,129.3579964273314,144.57343751799078,0.0016098189335878033,0.004994522102316656,0.02350611378002343
2021-05-15,128.74000532922452,141.2795484595219,-0.004777370670347669,-0.022783501001413242,-0.0013799909890759299
2021-06-15,128.47629596400816,140.20379793705683,-0.0020483870925900316,-0.007614340038560319,-0.0015546018924313953
2021-07-15,128.43822880932805,140.29020540930085,-0.0002962971059717878,0.0006162990840148375,-0.003738733742385869
2021-08-15,128.76422672993615,140.06467050913778,0.0025381689208130442,-0.0016076311208260696,-0.005771215837348298
2021-09-15,129.54091667025742,142.3810274886195,0.006031876710215878,0.01653776766876125,-0.009439710722830674
2021-10-15,130.37250659461583,143.0194691796109,0.006419515514740404,0.004484036266997782,0.005924080403359122
2021-11-15,129.66065655278896,139.1938194909124,-0.005460123920454474,-0.02674915317923643,0.010378735731342514
2021-12-15,129.7057705272615,138.31136793626413,0.00034793880944272715,-0.0063397323090619295,0.018628873248091482
2022-01-15,132.40200478575608,145.42646284605252,0.02078731152464708,0.05144258939776458,0.04326288342278106
2022-02-15,134.75045451891938,150.79933821037804,0.01773726717328339,0.03694565115025328,0.05789040081479646
2022-03-15,138.8780404558313,158.47997072219465,0.030631332203279404,0.05093279985818944,0.07532284664720268
2022-04-15,142.20278138678788,167.24756272080577,0.02394000462595791,0.05532302888912155,0.09929641239204123
