country,date,province,district,market_name,lat,lon,food_category,commodity_name,unit,price_flag,price_type,currency,price_rwf,price_usd,year,month,quarter,day_of_week,commodity_group
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,-1.6,30.27,vegetables and fruits,Bananas,KG,actual,Retail,RWF,150.0,0.16,2020,1,1,2,Bananas
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Cassava,KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,375.0,0.4,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Maize,KG,actual,Retail,RWF,340.0,0.36,2020,1,1,2,Maize
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Maize flour,KG,actual,Retail,RWF,754.0,0.8,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Potatoes,KG,actual,Retail,RWF,150.0,0.16,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,240.0,0.26,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,850.0,0.91,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Rice (local),KG,actual,Retail,RWF,787.5,0.84,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,"Rice (long grain, high quality, local)",KG,actual,Retail,RWF,1000.0,1.07,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,cereals and tubers,Sorghum,KG,actual,Retail,RWF,385.0,0.41,2020,1,1,2,Sorghum
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,2066.67,2.2,2020,1,1,2,Fish (dry)
